function_name,category,fixture_id,jpl_status,moshier_status,vsop_elp_meeus_status,jpl_elapsed_ns,moshier_elapsed_ns,vsop_elp_meeus_elapsed_ns,jpl_output_sha256,moshier_output_sha256,vsop_elp_meeus_output_sha256,jpl_vs_moshier_relation,jpl_vs_vsop_relation,moshier_vs_vsop_relation,max_abs_diff_if_numeric,max_rel_diff_if_numeric,notes
jme_degrees_difference,engine_invariant,modern_bhuj_standard,OK,OK,OK,345699,334569,285099,7093daa19b59b575024d7754e45c7a4dc634538d868f574889cb4351aba73570,fdf7f25e523d998f584a69da4a752d9d522b9dfe15d4715fd0e3c551e3844bfb,35b125c8b0de40e0aac1a8b6b7c9d3491461cab6d8325c5575187f596e8e86dc,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_degrees_difference_signed,engine_invariant,modern_bhuj_standard,OK,OK,OK,185012,329501,188300,8866f0913abb84aefda68c6fe6b835a22e4f8b98b329637eaac32c2b95df594f,6b41d9f3a9cdfd760d7bbd79d4b09e4c393939079c0f86f962e414959c122b45,067a451e364acd954ef6198c81cd9a91bd43ba9aade28a99a927c66bdf0ce2b4,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_degrees_to_hours,engine_invariant,modern_bhuj_standard,OK,OK,OK,356733,306020,179870,82788f9bb4fbc55a66f23aa04ee6020bbb2b3f727f66e2ef1fc4b64204bf19d7,be8f0aa4a1d066384e4c2cf2f74ccb6f87dbf202f9d4032559302a4e4afd3ff2,5eeece121f8fe20dc32499e85d6ad6c3f8e878cd4f4199467731fbce22a7d5d8,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_degrees_to_radians,engine_invariant,modern_bhuj_standard,OK,OK,OK,195223,142516,170283,5028d6ddae08451b0816ec1e8257671dd4c308a5f2e552013238ed4cf4adac40,066fef6ec508c8bb2e7045858b69b8172aa3f793f32b9e6876b4fad65f6d0631,5e7e218b206699daddd3b1901fcde6f9369f562e5ce1e0b53e3c1d5822777f91,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_delta_t,engine_invariant,modern_bhuj_standard,OK,OK,OK,162502,112558,254638,11387f619fce427594cd7ac8bbc1a6d206f841d79a537c5cfdacd85ee21211e7,60d87da13c2a1f1a2c585fd64581a0d3cf994e3a3104e1e8617eb2c2362aeda2,f39c80bdd7bc39712293ec9b20d7bdbb72e5ac0137b3f54c5ae5d89cc6ccfa13,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_delta_t_ex,engine_invariant,modern_bhuj_standard,OK,OK,OK,181004,90720,87176,ddda17c29afc4ff6037d056d84984546b92e8b413376b4673ffedafd0b9942b3,f64bca87b72596e8e47600a6337b2ead2adcc94685e381d0d3ae03b98e5a2ace,c5f2954e9083c6be52ea3d06738865548d319f72231ca86c0c1ca8d88bb937d9,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_double_to_long,engine_invariant,modern_bhuj_standard,OK,OK,OK,79030,75420,78611,4bcf71a975e079d8c2d02bc59c0b66951157933da42c7e68838b703449948ae2,7a90174fb5a618c3cba848bb7480832c76f7db6afa38f474599ec764f587cc15,b946ede2f86cf2d05ae0709657e36b44d6b1f007a737e26e45812fbcb343d151,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_ecliptic_to_equatorial,engine_invariant,modern_bhuj_standard,OK,OK,OK,62419,47031,49444,f24057f5957e5f34b41e6005c22bf36b5f1da061201687350013d6a73f6bab21,79b3348b3d9a8a78af53479f05aabe4c71475ef6742693afcd1ec2e7d3fa7d50,c2f3e693b27645cc37f7cc13624b45e8e76a5280ab06af3f441200bbe24f7db4,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_ecliptic_to_equatorial_rectangular_state,engine_invariant,modern_bhuj_standard,OK,OK,OK,54225,71495,55531,2f81536d1e7f80d9d8d6499adf07a80ffc3683d16618cc2d5350c4ccd2038487,a0a5c5039eb6b9b8dd8048c8a54eab12bc3f58a7968cdd27f1309d328530b3eb,021b0f7e39ebc95f0f0ba27acdcd9aaee6858b1a0ca5372e1ccf1da26209ace3,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_elp2000_moon_state,engine_sensitive,modern_bhuj_standard,OK,OK,OK,9167963,9560504,11795904,b3cd1dd9d590a54f59c9a35a87c87344d3ea318e38ef6f9f9e83639fb2fbb0b9,5cd7a57fc1c19892a75296dc00725e141984d91d0a1f766cde967aebbc4e49cb,df88d0596f52f4504ea1980a0951eeaf0d58c601905b254ba6cb0c3d7341066e,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
